sample_date,N,B.1.617.1,B.1.617.2,B.1.617.3
2020-04-04,1,0,0,0
2020-04-25,1,0,0,0
2020-04-26,5,0,0,0
2020-04-27,4,0,0,0
2020-04-28,6,0,0,0
2020-04-29,14,0,0,0
2020-04-30,4,0,0,0
2020-05-03,9,0,0,0
2020-05-04,13,0,0,0
2020-05-05,92,0,0,0
2020-05-06,52,0,0,0
2020-05-07,2,0,0,0
2020-05-08,51,0,0,0
2020-05-09,40,0,0,0
2020-05-10,3,0,0,0
2020-05-11,32,0,0,0
2020-05-12,60,0,0,0
2020-05-13,42,0,0,0
2020-05-14,52,0,0,0
2020-05-15,5,0,0,0
2020-05-17,1,0,0,0
2020-05-18,75,0,0,0
2020-05-19,4,0,0,0
2020-05-20,16,0,0,0
2020-05-21,10,0,0,0
2020-05-22,18,0,0,0
2020-05-23,2,0,0,0
2020-05-24,12,0,0,0
2020-05-25,14,0,0,0
2020-05-26,6,0,0,0
2020-05-27,20,0,0,0
2020-05-28,3,0,0,0
2020-05-30,1,0,0,0
2020-05-31,3,0,0,0
2020-06-01,46,0,0,0
2020-06-02,109,0,0,0
2020-06-03,13,0,0,0
2020-06-04,39,0,0,0
2020-06-05,19,0,0,0
2020-06-06,39,0,0,0
2020-06-07,182,0,0,0
2020-06-08,236,0,0,0
2020-06-09,253,0,0,0
2020-06-10,271,0,0,0
2020-06-11,379,0,0,0
2020-06-12,421,0,0,0
2020-06-13,303,0,0,0
2020-06-14,320,0,0,0
2020-06-15,306,0,0,0
2020-06-16,286,0,0,0
2020-06-17,288,0,0,0
2020-06-18,175,0,0,0
2020-06-19,280,0,0,0
2020-06-20,150,0,0,0
2020-06-21,194,0,0,0
2020-06-22,213,0,0,0
2020-06-23,262,0,0,0
2020-06-24,315,0,0,0
2020-06-25,137,0,0,0
2020-06-26,23,0,0,0
2020-06-27,25,0,0,0
2020-06-28,11,0,0,0
2020-06-29,145,0,0,0
2020-06-30,154,0,0,0
2020-07-01,202,0,0,0
2020-07-02,231,0,0,0
2020-07-03,191,0,0,0
2020-07-04,111,0,0,0
2020-07-05,75,0,0,0
2020-07-06,38,0,0,0
2020-07-07,5,0,0,0
2020-07-08,5,0,0,0
2020-07-09,3,0,0,0
2020-07-10,5,0,0,0
2020-07-11,24,0,0,0
2020-07-12,18,0,0,0
2020-07-13,33,0,0,0
2020-07-14,69,0,0,0
2020-07-15,233,0,0,0
2020-07-16,160,0,0,0
2020-07-17,134,0,0,0
2020-07-18,92,0,0,0
2020-07-19,50,0,0,0
2020-07-20,77,0,0,0
2020-07-21,57,0,0,0
2020-07-22,84,0,0,0
2020-07-23,72,0,0,0
2020-07-24,109,0,0,0
2020-07-25,51,0,0,0
2020-07-26,36,0,0,0
2020-07-27,93,0,0,0
2020-07-28,42,0,0,0
2020-07-29,35,0,0,0
2020-07-30,53,0,0,0
2020-07-31,55,0,0,0
2020-08-01,58,0,0,0
2020-08-02,73,0,0,0
2020-08-03,82,0,0,0
2020-08-04,76,0,0,0
2020-08-05,118,0,0,0
2020-08-06,153,0,0,0
2020-08-07,120,0,0,0
2020-08-08,83,0,0,0
2020-08-09,140,0,0,0
2020-08-10,311,0,0,0
2020-08-11,217,0,0,0
2020-08-12,209,0,0,0
2020-08-13,198,0,0,0
2020-08-14,199,0,0,0
2020-08-15,94,0,0,0
2020-08-16,67,0,0,0
2020-08-17,310,0,0,0
2020-08-18,311,0,0,0
2020-08-19,192,0,0,0
2020-08-20,397,0,0,0
2020-08-21,294,0,0,0
2020-08-22,42,0,0,0
2020-08-23,59,0,0,0
2020-08-24,222,0,0,0
2020-08-25,257,0,0,0
2020-08-26,418,0,0,0
2020-08-27,407,0,0,0
2020-08-28,297,0,0,0
2020-08-29,166,0,0,0
2020-08-30,370,0,0,0
2020-08-31,428,0,0,0
2020-09-01,472,0,0,0
2020-09-02,267,0,0,0
2020-09-03,390,0,0,0
2020-09-04,255,0,0,0
2020-09-05,122,0,0,0
2020-09-06,27,0,0,0
2020-09-07,517,0,0,0
2020-09-08,262,0,0,0
2020-09-09,741,0,0,0
2020-09-10,1070,0,0,0
2020-09-11,282,0,0,0
2020-09-12,26,0,0,0
2020-09-13,50,0,0,0
2020-09-14,207,0,0,0
2020-09-15,177,0,0,0
2020-09-16,1046,0,0,0
2020-09-17,307,0,0,0
2020-09-18,595,0,0,0
2020-09-19,373,0,0,0
2020-09-20,339,0,0,0
2020-09-21,903,0,0,0
2020-09-22,359,0,0,0
2020-09-23,421,0,0,0
2020-09-24,1889,0,0,0
2020-09-25,570,0,0,0
2020-09-26,95,0,0,0
2020-09-27,705,0,0,0
2020-09-28,127,0,0,0
2020-09-29,354,0,0,0
2020-09-30,342,0,0,0
2020-10-01,1267,0,0,0
2020-10-02,476,0,0,0
2020-10-03,545,0,0,0
2020-10-04,182,0,0,0
2020-10-05,1215,0,0,0
2020-10-06,1031,0,0,0
2020-10-07,1008,0,0,0
2020-10-08,537,0,0,0
2020-10-09,602,0,0,0
2020-10-10,222,0,0,0
2020-10-11,440,0,0,0
2020-10-12,1152,0,0,0
2020-10-13,428,0,0,0
2020-10-14,695,0,0,0
2020-10-15,1391,0,0,0
2020-10-16,491,0,0,0
2020-10-17,583,0,0,0
2020-10-18,162,0,0,0
2020-10-19,617,0,0,0
2020-10-20,1177,0,0,0
2020-10-21,1931,0,0,0
2020-10-22,1701,0,0,0
2020-10-23,460,0,0,0
2020-10-24,724,0,0,0
2020-10-25,187,0,0,0
2020-10-26,1092,0,0,0
2020-10-27,430,0,0,0
2020-10-28,69,0,0,0
2020-10-29,791,0,0,0
2020-10-30,861,0,0,0
2020-10-31,283,0,0,0
2020-11-01,1603,0,0,0
2020-11-02,2117,0,0,0
2020-11-03,588,0,0,0
2020-11-04,1068,0,0,0
2020-11-05,1275,0,0,0
2020-11-06,607,0,0,0
2020-11-07,616,0,0,0
2020-11-08,1681,0,0,0
2020-11-09,799,0,0,0
2020-11-10,317,0,0,0
2020-11-11,1113,0,0,0
2020-11-12,1464,0,0,0
2020-11-13,1505,0,0,0
2020-11-14,1876,0,0,0
2020-11-15,750,0,0,0
2020-11-16,18,0,0,0
2020-11-17,634,0,0,0
2020-11-18,1598,0,0,0
2020-11-19,263,0,0,0
2020-11-20,717,0,0,0
2020-11-21,611,0,0,0
2020-11-22,1094,0,0,0
2020-11-23,556,0,0,0
2020-11-24,54,0,0,0
2020-11-25,244,0,0,0
2020-11-26,358,0,0,0
2020-11-27,416,0,0,0
2020-11-28,130,0,0,0
2020-11-29,105,0,0,0
2020-11-30,77,0,0,0
2020-12-01,212,0,0,0
2020-12-02,161,0,0,0
2020-12-03,185,0,0,0
2020-12-04,310,0,0,0
2020-12-05,277,0,0,0
2020-12-06,455,0,0,0
2020-12-07,638,0,0,0
2020-12-08,319,0,0,0
2020-12-09,430,0,0,0
2020-12-10,1779,0,0,0
2020-12-11,1141,0,0,0
2020-12-12,598,0,0,0
2020-12-13,908,0,0,0
2020-12-14,1003,0,0,0
2020-12-15,844,0,0,0
2020-12-16,808,0,0,0
2020-12-17,1165,0,0,0
2020-12-18,1273,0,0,0
2020-12-19,752,0,0,0
2020-12-20,671,0,0,0
2020-12-21,854,0,0,0
2020-12-22,300,0,0,0
2020-12-23,174,0,0,0
2020-12-24,296,0,0,0
2020-12-25,226,0,0,0
2020-12-26,974,0,0,0
2020-12-27,696,0,0,0
2020-12-28,441,0,0,0
2020-12-29,1290,0,0,0
2020-12-30,495,0,0,0
2020-12-31,670,0,0,0
2021-01-01,372,0,0,0
2021-01-02,1610,0,0,0
2021-01-03,1284,0,0,0
2021-01-04,1218,0,0,0
2021-01-05,1103,0,0,0
2021-01-06,409,0,0,0
2021-01-07,754,0,0,0
2021-01-08,971,0,0,0
2021-01-09,1579,0,0,0
2021-01-10,964,0,0,0
2021-01-11,1375,0,0,0
2021-01-12,1895,0,0,0
2021-01-13,1070,0,0,0
2021-01-14,1474,0,0,0
2021-01-15,1843,0,0,0
2021-01-16,1268,0,0,0
2021-01-17,1534,0,0,0
2021-01-18,1340,0,0,0
2021-01-19,1487,0,0,0
2021-01-20,1331,0,0,0
2021-01-21,1287,0,0,0
2021-01-22,1980,0,0,0
2021-01-23,1491,0,0,0
2021-01-24,1139,0,0,0
2021-01-25,3250,0,0,0
2021-01-26,2443,0,0,0
2021-01-27,2271,0,0,0
2021-01-28,2154,0,0,0
2021-01-29,3030,0,0,0
2021-01-30,2394,0,0,0
2021-01-31,1231,0,0,0
2021-02-01,1328,0,0,0
2021-02-02,861,0,0,0
2021-02-03,1100,0,0,0
2021-02-04,1485,0,0,0
2021-02-05,1169,0,0,0
2021-02-06,1146,0,0,0
2021-02-07,1205,0,0,0
2021-02-08,1830,0,0,0
2021-02-09,1512,0,0,0
2021-02-10,1919,0,0,0
2021-02-11,1746,0,0,0
2021-02-12,1832,0,0,0
2021-02-13,1456,0,0,0
2021-02-14,2046,0,0,0
2021-02-15,2812,0,0,0
2021-02-16,2277,0,0,0
2021-02-17,1633,0,0,0
2021-02-18,1659,0,0,0
2021-02-19,1858,0,0,0
2021-02-20,1710,0,0,0
2021-02-21,2264,0,0,0
2021-02-22,2203,2,0,0
2021-02-23,1828,0,0,0
2021-02-24,1763,0,0,0
2021-02-25,2898,0,0,0
2021-02-26,1784,2,0,0
2021-02-27,1372,0,0,0
2021-02-28,1571,0,0,0
2021-03-01,2195,0,0,0
2021-03-02,1975,1,0,0
2021-03-03,2101,0,0,0
2021-03-04,1579,3,0,0
2021-03-05,1892,0,0,0
2021-03-06,1352,1,0,0
2021-03-07,943,3,0,0
2021-03-08,1965,0,0,0
2021-03-09,2111,2,0,0
2021-03-10,2895,3,0,0
2021-03-11,2829,2,0,0
2021-03-12,2255,2,0,0
2021-03-13,1993,2,0,0
2021-03-14,1902,0,0,0
2021-03-15,3097,4,0,0
2021-03-16,2573,4,0,0
2021-03-17,1769,4,0,0
2021-03-18,1739,1,2,0
2021-03-19,1430,1,0,0
2021-03-20,2133,2,0,0
2021-03-21,2123,3,0,0
2021-03-22,3254,2,0,1
2021-03-23,2304,5,1,0
2021-03-24,1924,2,0,0
2021-03-25,2245,1,0,0
2021-03-26,2075,1,0,0
2021-03-27,1704,2,0,0
2021-03-28,1632,5,1,0
2021-03-29,2150,3,0,0
2021-03-30,1993,1,4,0
2021-03-31,1703,4,2,0
2021-04-01,1566,1,2,0
2021-04-02,1372,3,2,1
2021-04-03,1343,13,6,0
2021-04-04,1162,5,4,0
2021-04-05,1325,3,5,0
2021-04-06,1379,8,18,0
2021-04-07,1240,5,11,0
2021-04-08,897,4,8,0
2021-04-09,939,7,5,0
2021-04-10,672,6,3,0
2021-04-11,834,4,11,0
2021-04-12,1068,10,11,0
2021-04-13,1097,7,9,0
2021-04-14,1053,11,18,0
2021-04-15,941,15,25,1
2021-04-16,855,13,22,0
2021-04-17,752,4,32,1
2021-04-18,612,5,12,0
2021-04-19,1132,9,53,0
2021-04-20,939,16,54,0
2021-04-21,1120,14,52,1
2021-04-22,1066,8,45,0
2021-04-23,841,10,53,1
2021-04-24,611,18,48,0
2021-04-25,521,3,57,0
2021-04-26,1195,3,88,0
2021-04-27,961,9,79,0
2021-04-28,759,5,95,0
2021-04-29,793,14,90,0
2021-04-30,757,8,125,0
2021-05-01,579,5,109,0
2021-05-02,476,1,109,0
2021-05-03,692,1,133,0
2021-05-04,832,1,166,0
2021-05-05,863,2,239,0
2021-05-06,967,1,244,0
2021-05-07,763,3,233,0
2021-05-08,562,2,176,0
2021-05-09,415,1,157,0
2021-05-10,919,2,400,0
2021-05-11,591,2,270,0
2021-05-12,210,0,104,0
2021-05-13,8,0,3,0
2021-05-14,1,0,0,0
