region,parameter,value
North East and Yorkshire,R_traveller,1.8 (95% CrI: 1.5-2.4)
North East and Yorkshire,R_non_traveller,1.6 (95% CrI: 1.4-1.8)
North East and Yorkshire,R_p7,1.6 (95% CrI: 1.3-1.7)
North East and Yorkshire,R_p17,1.6 (95% CrI: 1.5-1.7)
North East and Yorkshire,R_non_617,0.97 (95% CrI: 0.96-0.98)
North East and Yorkshire,ratio_617_2,1.69 (95% CrI: 1.48-1.83)
North East and Yorkshire,ratio_617_2_recent,1.63 (95% CrI: 1.34-1.81)
North East and Yorkshire,ratio_617_2_end,1.68 (95% CrI: 1.58-1.8)
North East and Yorkshire,decline,2.6 (95% CrI: 0.11-19)
North East and Yorkshire,decline_date,2021-05-13 (95% CrI:2021-05-09 - 2021-05-16)
North East and Yorkshire,doubling,8.29
North East and Yorkshire,surge_report,1.4 (95% CrI: 1.1-2.1)
North East and Yorkshire,end_scale,1 (95% CrI: 0.89-1.3)
